SiteName,County,AQI,Status,Latitude,Longitude,Area,PublishTime,PM2.5,PM10,O3
台北,臺北市,63,普通,25.032,121.5654,都市,2026-03-03 15:14,30,46,30
松山,臺北市,41,良好,25.05,121.577,都市,2026-03-03 15:14,18,30,20
中山,臺北市,79,普通,25.064,121.525,都市,2026-03-03 15:14,34,48,56
大安,臺北市,98,普通,25.026,121.543,都市,2026-03-03 15:14,44,69,62
信義,臺北市,87,普通,25.033,121.565,都市,2026-03-03 15:14,38,60,43
士林,臺北市,73,普通,25.0877,121.524,都市,2026-03-03 15:14,31,45,52
板橋,新北市,76,普通,25.015,121.463,都市,2026-03-03 15:14,27,43,42
三重,新北市,64,普通,25.078,121.489,都市,2026-03-03 15:14,24,36,33
新莊,新北市,59,普通,25.038,121.45,都市,2026-03-03 15:14,23,35,27
土城,新北市,77,普通,24.979,121.447,都市,2026-03-03 15:14,28,39,48
蘆洲,新北市,70,普通,25.084,121.466,都市,2026-03-03 15:14,24,39,34
樹林,新北市,57,普通,24.983,121.416,都市,2026-03-03 15:14,20,27,39
新店,新北市,88,普通,24.9739,121.5378,都市,2026-03-03 15:14,40,58,51
永和,新北市,89,普通,25.0108,121.513,都市,2026-03-03 15:14,36,52,49
中和,新北市,83,普通,24.9994,121.464,都市,2026-03-03 15:14,37,57,56
汐止,新北市,52,普通,25.063,121.632,郊區,2026-03-03 15:14,24,37,38
金山,新北市,36,良好,25.2236,121.636,郊區,2026-03-03 15:14,16,24,26
淡水,新北市,52,普通,25.164,121.44,郊區,2026-03-03 15:14,18,29,29
瑞芳,新北市,82,普通,25.108,121.811,工業,2026-03-03 15:14,32,47,40
桃園,桃園市,56,普通,24.9936,121.301,都市,2026-03-03 15:14,22,36,30
中壢,桃園市,71,普通,24.9539,121.2248,都市,2026-03-03 15:14,30,43,38
大園,桃園市,56,普通,25.064,121.197,工業,2026-03-03 15:14,25,37,38
觀音,桃園市,118,對敏感族群不健康,25.032,121.078,工業,2026-03-03 15:14,51,75,70
平鎮,桃園市,60,普通,24.893,121.18,郊區,2026-03-03 15:14,21,33,46
龍潭,桃園市,47,良好,24.863,121.21,郊區,2026-03-03 15:14,14,18,20
楊梅,桃園市,61,普通,24.908,121.14,郊區,2026-03-03 15:14,19,25,26
蘆竹,桃園市,46,良好,25.045,121.29,郊區,2026-03-03 15:14,15,19,30
