SiteName,County,AQI,Status,Latitude,Longitude,Area,PublishTime,PM2.5,PM10,O3
台北,臺北市,86,普通,25.032,121.5654,都市,2026-03-03 15:13,37,56,43
松山,臺北市,47,良好,25.05,121.577,都市,2026-03-03 15:13,19,26,22
中山,臺北市,54,普通,25.064,121.525,都市,2026-03-03 15:13,22,30,25
大安,臺北市,67,普通,25.026,121.543,都市,2026-03-03 15:13,25,34,45
信義,臺北市,76,普通,25.033,121.565,都市,2026-03-03 15:13,35,54,51
士林,臺北市,88,普通,25.0877,121.524,都市,2026-03-03 15:13,34,53,42
板橋,新北市,52,普通,25.015,121.463,都市,2026-03-03 15:13,20,33,37
三重,新北市,54,普通,25.078,121.489,都市,2026-03-03 15:13,17,28,33
新莊,新北市,91,普通,25.038,121.45,都市,2026-03-03 15:13,35,52,61
土城,新北市,60,普通,24.979,121.447,都市,2026-03-03 15:13,25,38,31
蘆洲,新北市,84,普通,25.084,121.466,都市,2026-03-03 15:13,34,53,42
樹林,新北市,58,普通,24.983,121.416,都市,2026-03-03 15:13,24,39,35
新店,新北市,74,普通,24.9739,121.5378,都市,2026-03-03 15:13,24,36,36
永和,新北市,54,普通,25.0108,121.513,都市,2026-03-03 15:13,19,29,41
中和,新北市,40,良好,24.9994,121.464,都市,2026-03-03 15:13,13,18,21
汐止,新北市,45,良好,25.063,121.632,郊區,2026-03-03 15:13,15,23,31
金山,新北市,43,良好,25.2236,121.636,郊區,2026-03-03 15:13,20,28,21
淡水,新北市,56,普通,25.164,121.44,郊區,2026-03-03 15:13,27,37,42
瑞芳,新北市,67,普通,25.108,121.811,工業,2026-03-03 15:13,29,42,40
桃園,桃園市,41,良好,24.9936,121.301,都市,2026-03-03 15:13,11,17,20
中壢,桃園市,91,普通,24.9539,121.2248,都市,2026-03-03 15:13,37,56,56
大園,桃園市,68,普通,25.064,121.197,工業,2026-03-03 15:13,31,49,39
觀音,桃園市,74,普通,25.032,121.078,工業,2026-03-03 15:13,28,39,53
平鎮,桃園市,37,良好,24.893,121.18,郊區,2026-03-03 15:13,17,27,20
龍潭,桃園市,50,良好,24.863,121.21,郊區,2026-03-03 15:13,22,35,33
楊梅,桃園市,70,普通,24.908,121.14,郊區,2026-03-03 15:13,32,51,41
蘆竹,桃園市,53,普通,25.045,121.29,郊區,2026-03-03 15:13,20,31,24
台中,臺中市,35,良好,24.1477,120.6736,都市,2026-03-03 15:13,9,15,25
西屯,臺中市,49,良好,24.162,121.646,都市,2026-03-03 15:13,21,32,27
南屯,臺中市,41,良好,24.132,120.651,都市,2026-03-03 15:13,17,23,30
北屯,臺中市,63,普通,24.242,120.686,都市,2026-03-03 15:13,21,32,40
沙鹿,臺中市,55,普通,24.233,120.565,工業,2026-03-03 15:13,18,29,33
大里,臺中市,79,普通,24.099,120.678,都市,2026-03-03 15:13,34,49,57
太平,臺中市,58,普通,24.125,120.72,郊區,2026-03-03 15:13,18,24,30
豐原,臺中市,65,普通,24.253,120.717,郊區,2026-03-03 15:13,27,42,35
后里,臺中市,53,普通,24.308,120.718,郊區,2026-03-03 15:13,25,37,28
霧峰,臺中市,54,普通,24.067,120.724,郊區,2026-03-03 15:13,19,26,42
大甲,臺中市,64,普通,24.348,120.623,郊區,2026-03-03 15:13,30,45,37
烏日,臺中市,29,良好,24.108,120.617,郊區,2026-03-03 15:13,9,11,20
台南,臺南市,61,普通,22.9999,120.2269,都市,2026-03-03 15:13,29,43,44
安南,臺南市,81,普通,23.058,120.197,工業,2026-03-03 15:13,34,49,51
善化,臺南市,66,普通,23.132,120.3,郊區,2026-03-03 15:13,26,38,39
新營,臺南市,89,普通,23.31,120.316,都市,2026-03-03 15:13,31,45,52
佳里,臺南市,58,普通,23.158,120.166,郊區,2026-03-03 15:13,27,40,32
麻豆,臺南市,67,普通,23.181,120.248,郊區,2026-03-03 15:13,25,40,44
官田,臺南市,68,普通,23.194,120.325,郊區,2026-03-03 15:13,23,36,38
仁德,臺南市,140,對敏感族群不健康,22.931,120.244,工業,2026-03-03 15:13,52,77,77
歸仁,臺南市,75,普通,22.967,120.293,郊區,2026-03-03 15:13,28,45,40
關廟,臺南市,62,普通,22.979,120.311,郊區,2026-03-03 15:13,21,34,35
高雄,高雄市,86,普通,22.6273,120.3014,都市,2026-03-03 15:13,33,50,44
左營,高雄市,84,普通,22.69,121.295,都市,2026-03-03 15:13,32,49,43
