SiteName,County,AQI,Status,Latitude,Longitude,Distance_to_Taipei_Main_km,Distance_Calculation_Method,PublishTime,PM2.5,PM10,O3
中山,臺北市,57,普通,25.064,121.525,1.9677351000103014,geodesic,2026-03-03 15:15,21,30,31
大安,臺北市,69,普通,25.026,121.543,3.5660199383394717,geodesic,2026-03-03 15:15,24,34,35
永和,新北市,37,良好,25.0108,121.513,4.118446958701073,geodesic,2026-03-03 15:15,13,22,20
三重,新北市,65,普通,25.078,121.489,4.378702523766061,geodesic,2026-03-03 15:15,21,28,42
士林,臺北市,54,普通,25.0877,121.524,4.475950444182211,geodesic,2026-03-03 15:15,16,27,29
信義,臺北市,88,普通,25.033,121.565,5.113932432185207,geodesic,2026-03-03 15:15,30,43,46
台北,臺北市,80,普通,25.032,121.5654,5.188515019448628,geodesic,2026-03-03 15:15,28,41,55
松山,臺北市,80,普通,25.05,121.577,6.0595084816544755,geodesic,2026-03-03 15:15,37,55,57
蘆洲,新北市,90,普通,25.084,121.466,6.523686988481103,geodesic,2026-03-03 15:15,38,58,46
板橋,新北市,70,普通,25.015,121.463,6.550035109689792,geodesic,2026-03-03 15:15,23,33,42
新莊,新北市,78,普通,25.038,121.45,6.847900273009752,geodesic,2026-03-03 15:15,29,42,36
中和,新北市,50,良好,24.9994,121.464,7.57365355510357,geodesic,2026-03-03 15:15,24,37,26
新店,新北市,64,普通,24.9739,121.5378,8.451089861854445,geodesic,2026-03-03 15:15,23,32,43
土城,新北市,62,普通,24.979,121.447,10.392650182817897,geodesic,2026-03-03 15:15,29,41,44
汐止,新北市,44,良好,25.063,121.632,11.725570458656039,geodesic,2026-03-03 15:15,17,24,20
樹林,新北市,65,普通,24.983,121.416,12.46822870984299,geodesic,2026-03-03 15:15,26,42,41
淡水,新北市,58,普通,25.164,121.44,15.033509030313212,geodesic,2026-03-03 15:15,23,31,43
七堵,基隆市,98,普通,25.095,121.708,19.967029480577796,geodesic,2026-03-03 15:15,42,66,56
桃園,桃園市,56,普通,24.9936,121.301,22.613159208794382,geodesic,2026-03-03 15:15,18,30,24
暖暖,基隆市,46,良好,25.1,121.736,22.838945495448044,geodesic,2026-03-03 15:15,22,31,31
金山,新北市,35,良好,25.2236,121.636,22.874470532263352,geodesic,2026-03-03 15:15,12,21,20
蘆竹,桃園市,40,良好,25.045,121.29,22.909154033136886,geodesic,2026-03-03 15:15,14,19,20
基隆,基隆市,35,良好,25.1276,121.7392,24.09524738148769,geodesic,2026-03-03 15:15,18,26,20
瑞芳,新北市,92,普通,25.108,121.811,30.4009882193839,geodesic,2026-03-03 15:15,38,57,52
中壢,桃園市,62,普通,24.9539,121.2248,31.277619927891596,geodesic,2026-03-03 15:15,20,33,32
大園,桃園市,78,普通,25.064,121.197,32.33921870201049,geodesic,2026-03-03 15:15,31,46,50
龍潭,桃園市,77,普通,24.863,121.21,37.151381200410746,geodesic,2026-03-03 15:15,33,46,41
宜蘭,宜蘭縣,84,普通,24.77,121.7326,37.70067174170203,geodesic,2026-03-03 15:15,30,43,48
平鎮,桃園市,64,普通,24.893,121.18,38.10465263783098,geodesic,2026-03-03 15:15,24,33,42
楊梅,桃園市,56,普通,24.908,121.14,41.09449549171104,geodesic,2026-03-03 15:15,27,43,23
觀音,桃園市,114,對敏感族群不健康,25.032,121.078,44.33730596142385,geodesic,2026-03-03 15:15,49,70,68
羅東,宜蘭縣,53,普通,24.677,121.766,48.16956945334236,geodesic,2026-03-03 15:15,24,36,23
湖口,新竹縣,92,普通,24.904,121.054,49.388271162215105,geodesic,2026-03-03 15:15,33,50,50
新埔,新竹縣,65,普通,24.824,121.071,51.41803434301136,geodesic,2026-03-03 15:15,23,36,39
冬山,宜蘭縣,58,普通,24.636,121.79,53.312373324664854,geodesic,2026-03-03 15:15,25,35,34
竹東,新竹縣,29,良好,24.734,121.086,55.719506312087724,geodesic,2026-03-03 15:15,11,18,20
蘇澳,宜蘭縣,95,普通,24.603,121.849,59.61573287859014,geodesic,2026-03-03 15:15,37,58,66
新竹,新竹市,50,良好,24.8138,120.9675,61.25733862235727,geodesic,2026-03-03 15:15,23,37,20
頭份,苗栗縣,55,普通,24.688,120.918,72.47580197462062,geodesic,2026-03-03 15:15,23,35,37
竹南,新竹縣,116,對敏感族群不健康,24.684,120.878,76.1190942821037,geodesic,2026-03-03 15:15,51,78,77
竹南,苗栗縣,52,普通,24.684,120.878,76.1190942821037,geodesic,2026-03-03 15:15,15,20,29
苗栗,苗栗縣,70,普通,24.566,120.822,88.23833574249954,geodesic,2026-03-03 15:15,26,37,44
大湖,苗栗縣,54,普通,24.408,120.864,96.8866670170531,geodesic,2026-03-03 15:15,23,34,24
西屯,臺中市,41,良好,24.162,121.646,98.98330570486372,geodesic,2026-03-03 15:15,14,20,26
三義,苗栗縣,27,良好,24.332,120.747,111.17023960684803,geodesic,2026-03-03 15:15,7,10,20
后里,臺中市,26,良好,24.308,120.718,115.12895644515758,geodesic,2026-03-03 15:15,12,17,23
大甲,臺中市,30,良好,24.348,120.623,119.1347905497274,geodesic,2026-03-03 15:15,9,16,20
豐原,臺中市,62,普通,24.253,120.717,119.62207273282715,geodesic,2026-03-03 15:15,25,39,27
北屯,臺中市,48,良好,24.242,120.686,122.6548610869835,geodesic,2026-03-03 15:15,24,33,29
太平,臺中市,53,普通,24.125,120.72,130.24675859217228,geodesic,2026-03-03 15:15,21,33,31
台中,臺中市,35,良好,24.1477,120.6736,131.28614081961885,geodesic,2026-03-03 15:15,17,26,20
吉安,花蓮縣,32,良好,23.858,121.568,131.88940167817853,geodesic,2026-03-03 15:15,9,10,20
沙鹿,臺中市,51,普通,24.233,120.565,132.0414214726911,geodesic,2026-03-03 15:15,18,30,22
埔里,南投縣,44,良好,23.965,120.964,132.3855113576861,geodesic,2026-03-03 15:15,13,19,28
南屯,臺中市,66,普通,24.132,120.651,134.10073143922153,geodesic,2026-03-03 15:15,24,38,29
霧峰,臺中市,58,普通,24.067,120.724,135.11647652317995,geodesic,2026-03-03 15:15,19,25,27
大里,臺中市,54,普通,24.099,120.678,135.15756890711867,geodesic,2026-03-03 15:15,26,42,29
