SiteName,County,AQI,Status,Latitude,Longitude,Distance_to_Taipei_Main_km,Distance_Calculation_Method,PublishTime,PM2.5,PM10,O3
中山,臺北市,54,普通,25.064,121.525,1.9677351000103014,geodesic,2026-03-03 15:13,22,30,25
大安,臺北市,67,普通,25.026,121.543,3.5660199383394717,geodesic,2026-03-03 15:13,25,34,45
永和,新北市,54,普通,25.0108,121.513,4.118446958701073,geodesic,2026-03-03 15:13,19,29,41
三重,新北市,54,普通,25.078,121.489,4.378702523766061,geodesic,2026-03-03 15:13,17,28,33
士林,臺北市,88,普通,25.0877,121.524,4.475950444182211,geodesic,2026-03-03 15:13,34,53,42
信義,臺北市,76,普通,25.033,121.565,5.113932432185207,geodesic,2026-03-03 15:13,35,54,51
台北,臺北市,86,普通,25.032,121.5654,5.188515019448628,geodesic,2026-03-03 15:13,37,56,43
松山,臺北市,47,良好,25.05,121.577,6.0595084816544755,geodesic,2026-03-03 15:13,19,26,22
蘆洲,新北市,84,普通,25.084,121.466,6.523686988481103,geodesic,2026-03-03 15:13,34,53,42
板橋,新北市,52,普通,25.015,121.463,6.550035109689792,geodesic,2026-03-03 15:13,20,33,37
新莊,新北市,91,普通,25.038,121.45,6.847900273009752,geodesic,2026-03-03 15:13,35,52,61
中和,新北市,40,良好,24.9994,121.464,7.57365355510357,geodesic,2026-03-03 15:13,13,18,21
新店,新北市,74,普通,24.9739,121.5378,8.451089861854445,geodesic,2026-03-03 15:13,24,36,36
土城,新北市,60,普通,24.979,121.447,10.392650182817897,geodesic,2026-03-03 15:13,25,38,31
汐止,新北市,45,良好,25.063,121.632,11.725570458656039,geodesic,2026-03-03 15:13,15,23,31
樹林,新北市,58,普通,24.983,121.416,12.46822870984299,geodesic,2026-03-03 15:13,24,39,35
淡水,新北市,56,普通,25.164,121.44,15.033509030313212,geodesic,2026-03-03 15:13,27,37,42
七堵,基隆市,77,普通,25.095,121.708,19.967029480577796,geodesic,2026-03-03 15:13,34,48,52
桃園,桃園市,41,良好,24.9936,121.301,22.613159208794382,geodesic,2026-03-03 15:13,11,17,20
暖暖,基隆市,37,良好,25.1,121.736,22.838945495448044,geodesic,2026-03-03 15:13,18,24,31
金山,新北市,43,良好,25.2236,121.636,22.874470532263352,geodesic,2026-03-03 15:13,20,28,21
蘆竹,桃園市,53,普通,25.045,121.29,22.909154033136886,geodesic,2026-03-03 15:13,20,31,24
基隆,基隆市,54,普通,25.1276,121.7392,24.09524738148769,geodesic,2026-03-03 15:13,18,24,33
瑞芳,新北市,67,普通,25.108,121.811,30.4009882193839,geodesic,2026-03-03 15:13,29,42,40
中壢,桃園市,91,普通,24.9539,121.2248,31.277619927891596,geodesic,2026-03-03 15:13,37,56,56
大園,桃園市,68,普通,25.064,121.197,32.33921870201049,geodesic,2026-03-03 15:13,31,49,39
龍潭,桃園市,50,良好,24.863,121.21,37.151381200410746,geodesic,2026-03-03 15:13,22,35,33
宜蘭,宜蘭縣,76,普通,24.77,121.7326,37.70067174170203,geodesic,2026-03-03 15:13,32,46,41
平鎮,桃園市,37,良好,24.893,121.18,38.10465263783098,geodesic,2026-03-03 15:13,17,27,20
楊梅,桃園市,70,普通,24.908,121.14,41.09449549171104,geodesic,2026-03-03 15:13,32,51,41
觀音,桃園市,74,普通,25.032,121.078,44.33730596142385,geodesic,2026-03-03 15:13,28,39,53
羅東,宜蘭縣,75,普通,24.677,121.766,48.16956945334236,geodesic,2026-03-03 15:13,26,42,42
湖口,新竹縣,61,普通,24.904,121.054,49.388271162215105,geodesic,2026-03-03 15:13,24,37,42
